timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1929494,1743,1,191086,203808,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959965,1745,1,191774,207213,-1.41,-1.25,9.69,-0.21,-0.40,-0.04,34.13
2000221,1733,1,193212,210672,-0.91,-1.17,9.28,-0.15,-0.36,-0.08,34.13
2040211,1745,1,193923,210507,-1.02,-1.74,10.52,0.21,0.06,-0.01,34.13
2080188,1750,1,193079,207262,-1.17,-1.65,9.64,0.16,0.07,-0.09,34.13
2120179,1747,1,191861,205125,-0.66,-1.70,9.74,-0.14,0.08,-0.17,34.13
2160199,1773,1,191675,205393,-0.66,-1.59,9.81,-0.22,0.08,-0.22,34.13
2200198,1776,1,191504,202987,-0.91,-1.51,9.74,-0.19,0.21,-0.19,34.13
2240199,1777,1,189606,196632,-1.24,-1.38,9.96,-0.12,0.23,-0.16,34.13
2280199,1821,1,187164,193006,-1.22,-1.07,9.72,-0.04,0.12,-0.02,34.13
2320198,1789,1,186140,191593,-1.37,-0.82,9.92,-0.01,0.05,0.13,34.13
2360179,1792,1,185693,193002,-1.13,-0.68,9.53,-0.03,-0.13,0.26,34.13
2400198,1817,1,186864,196208,-0.72,-0.59,9.17,-0.26,-0.18,0.23,34.13
2440198,1795,1,188590,200376,-0.80,-1.00,9.61,-0.41,-0.18,0.13,34.13
2480198,1827,1,0,0,-0.83,-1.40,9.81,-0.47,-0.06,0.05,34.13
2983988,1878,1,0,0,-4.60,-128.47,16.55,-1.30,18.59,-1.02,34.13
3488123,1828,1,0,214708,-4.60,-128.47,16.55,-1.30,18.59,-1.02,34.13
3860190,1746,1,194405,211964,-1.87,-1.80,9.08,0.29,0.31,-1.66,34.13
3900175,1744,1,193560,209915,-2.44,-2.03,9.47,0.32,0.40,-1.43,34.13
3940216,1718,1,192341,204968,-2.48,-1.69,9.67,0.39,0.44,-1.19,34.13
3980175,1776,1,191091,203619,-2.77,-1.62,9.21,0.41,0.08,-1.14,34.13
4020176,1746,1,191359,204961,-2.72,-1.60,9.71,0.23,0.10,-1.20,34.13
4060865,1743,1,191863,206076,-2.62,-1.42,9.37,0.24,-0.08,-1.23,34.13
4101199,1763,1,192287,207299,-2.43,-1.33,9.20,0.22,0.01,-1.23,34.13
4141179,1750,1,192855,209736,-2.42,-1.43,9.50,0.18,-0.01,-1.25,34.13
4181199,1770,1,193752,212831,-2.12,-1.50,9.28,0.08,-0.14,-1.36,34.13
4221199,1794,1,194659,215596,-2.13,-1.54,9.50,-0.04,-0.26,-1.49,34.13
4261214,1789,1,195157,217517,-2.02,-1.58,9.75,-0.02,-0.29,-1.40,34.13
4301216,1783,1,195491,219240,-1.60,-1.41,9.61,0.03,-0.24,-1.27,34.13
4341199,1786,1,195800,220380,-1.46,-1.23,9.68,0.04,-0.09,-1.17,34.13
4381199,1824,1,196129,221471,-1.31,-1.17,9.89,0.02,-0.11,-1.12,34.13
4421199,1795,1,196623,222732,-1.29,-1.09,9.73,-0.03,-0.09,-1.08,34.13
4461217,1841,1,196974,223456,-1.21,-1.03,9.84,-0.01,0.02,-1.00,34.13
4501200,1802,1,197005,223429,-0.94,-1.01,9.75,0.02,0.04,-0.98,34.13
4541180,1821,1,196191,219616,-1.03,-1.14,10.04,-0.02,0.17,-0.94,34.13
4581199,1810,1,194024,212915,-1.21,-1.41,10.24,-0.01,0.31,-0.82,34.13
4621200,1815,1,192455,210832,-1.17,-1.68,10.15,-0.07,0.32,-0.81,34.13
4661200,1790,1,191946,210919,-1.32,-1.70,10.16,-0.07,-0.06,-0.79,34.13
4701217,1777,1,192245,212908,-0.68,-1.47,9.59,-0.07,-0.23,-0.63,34.13
4741213,1789,1,193322,215691,-0.84,-1.38,10.09,-0.06,0.08,-0.36,34.13
4781200,1807,1,194113,217317,-1.30,-1.27,10.17,0.04,0.15,-0.18,34.13
4821180,1792,1,194705,217770,-1.48,-1.11,10.03,0.11,0.15,-0.12,34.13
4861179,1802,1,194420,217441,-1.20,-1.02,9.92,0.18,-0.05,-0.17,34.13
4901200,1787,1,194227,217651,-0.96,-0.92,9.63,0.19,-0.07,-0.18,34.13
4941200,1776,1,194090,217829,-0.60,-1.01,9.56,0.08,-0.04,-0.17,34.13
4981196,1781,1,194038,218871,-0.61,-1.22,9.60,-0.02,-0.05,-0.17,34.13
5021237,1772,1,194625,220974,-0.79,-1.43,9.91,-0.05,0.07,-0.09,34.13
5061886,1788,1,195394,222956,-0.97,-1.60,10.25,-0.03,0.16,0.04,34.21
5100179,1774,1,196056,223790,-1.21,-1.71,10.23,-0.03,0.29,0.18,34.21
5140180,1788,1,196030,222369,-1.71,-1.47,9.84,-0.13,0.17,0.30,34.21
5180180,1775,1,195481,221135,-1.90,-1.57,9.85,-0.18,0.02,0.47,34.21
5220180,1755,1,195580,221629,-1.68,-1.57,9.72,-0.15,-0.17,0.43,34.21
5260200,1755,1,195712,222100,-1.14,-1.41,9.31,-0.09,-0.35,0.36,34.21
5300200,1741,1,195793,223113,-0.77,-1.42,9.34,-0.16,-0.19,0.27,34.21
5340200,1737,1,196231,224226,-1.05,-1.59,9.87,-0.14,-0.02,0.31,34.21
5380200,1755,1,196612,225265,-0.96,-1.66,9.66,-0.09,0.03,0.38,34.21
5420179,1745,1,196704,225264,-1.35,-1.71,9.89,-0.07,0.15,0.37,34.21
5460180,1744,1,196425,224585,-1.77,-1.80,9.90,-0.00,0.15,0.47,34.21
5500179,1746,1,196228,224046,-1.63,-1.76,9.75,-0.00,0.09,0.46,34.21
5540180,1776,1,195999,223975,-1.53,-1.72,9.65,-0.04,0.01,0.46,34.21
5580205,1757,1,196280,224534,-1.48,-1.63,9.52,-0.09,-0.03,0.42,34.21
5620199,1747,1,196519,225613,-1.52,-1.65,9.67,-0.19,-0.09,0.30,34.21
5660200,1762,1,196930,227104,-1.41,-1.42,9.35,-0.20,-0.23,0.26,34.21
5700199,1760,1,197193,226408,-1.19,-1.70,8.87,-0.27,-0.14,0.25,34.21
5740200,1776,1,196284,222164,-1.28,-1.91,8.94,-0.14,0.15,0.26,34.21
